Pais_traduzido,Ano,num_atletas_unicos,idade_media,num_eventos,porcentagem_feminino,hhi_esportes,pct_jovens_menor_23,pib_dolar,pop_total,gastos_edu_pib_perc,pontuacao_total
Afeganistão,2012,6,24.833333333333332,6,16.666666666666664,0.2777777777777778,16.666666666666664,19.9073297775872,30.560034,2.60419988632202,1.0
Afeganistão,2016,3,24.666666666666668,3,33.33333333333333,0.5555555555555556,33.33333333333333,18.116572395077203,34.700612,4.54397010803223,0.0
Albânia,2012,9,23.666666666666668,9,33.33333333333333,0.2839506172839506,66.66666666666666,12.319834195331,2.900401,3.30906105041504,0.0
Albânia,2016,6,23.666666666666668,6,50.0,0.3333333333333333,16.666666666666664,11.861199830839599,2.876101,3.96209001541138,0.0
Alemanha,2012,383,26.757180156657963,213,44.64751958224543,0.07987647335519363,18.5378590078329,3597.89650094531,80.425823,4.92844009399414,85.0
Alemanha,2016,417,26.429256594724222,217,46.52278177458034,0.08055138622914618,21.34292565947242,3537.78410798055,82.348669,4.83923006057739,86.0
Andorra,2012,5,35.4,5,20.0,0.28,20.0,3.18865276536184,0.076834,2.56577897071838,0.0
Andorra,2016,4,26.0,4,50.0,0.25,50.0,2.89661047973077,0.072181,3.23707008361816,0.0
Angola,2012,33,26.272727272727273,10,87.87878787878788,0.3241505968778697,27.27272727272727,128.052915766343,25.177394,3.08191084861755,0.0
Angola,2016,26,27.46153846153846,10,69.23076923076923,0.36686390532544366,23.076923076923077,52.7616172259253,29.18307,2.75493669509888,0.0
Antígua e Barbuda,2012,4,23.0,4,50.0,0.625,50.0,1.3271074074074098,0.08726,2.35619330406189,0.0
Antígua e Barbuda,2016,7,22.714285714285715,5,28.57142857142857,0.5918367346938775,57.14285714285714,1.4896925925925901,0.089969,2.25177478790283,0.0
Argentina,2012,136,27.705882352941178,62,28.676470588235293,0.10023788927335639,17.647058823529413,545.982375701128,42.161721,5.34582996368408,7.0
Argentina,2016,215,27.413953488372094,80,34.883720930232556,0.08196863169280691,19.069767441860467,557.5323206629549,43.900313,5.54548978805542,11.0
Argélia,2012,34,24.941176470588236,25,50.0,0.17301038062283744,32.35294117647059,227.143746075934,37.646166,7.0295090675354,3.0
Argélia,2016,64,24.609375,48,15.625,0.16552734375,35.9375,180.763839522151,40.850721,6.50210857391357,4.0
Armênia,2012,24,25.75,30,16.666666666666664,0.17708333333333337,25.0,10.619320682947398,3.0241,2.77248001098633,4.0
Armênia,2016,31,24.29032258064516,32,22.58064516129032,0.18210197710718,32.25806451612903,10.5461362355219,2.9923,2.75812005996704,9.0
Aruba,2012,4,23.75,4,25.0,0.375,50.0,2.6152083798882697,0.10411,6.3472900390625,0.0
Aruba,2016,7,24.0,6,57.14285714285714,0.30612244897959184,42.857142857142854,2.98363519553073,0.108727,5.49136018753052,0.0
Austrália,2012,390,26.594871794871796,190,46.15384615384615,0.07455621301775148,26.153846153846157,1547.5322811163999,22.733465,5.55924797058105,65.0
Austrália,2016,415,26.43855421686747,193,50.36144578313253,0.06406154739439687,23.373493975903614,1206.83696228184,24.190907,5.43038558959961,56.0
Azerbaijão,2012,46,25.17391304347826,46,28.26086956521739,0.14272211720226843,32.608695652173914,69.67994450419721,9.295784,2.06763005256653,16.0
Azerbaijão,2016,56,25.839285714285715,62,25.0,0.13392857142857145,16.071428571428573,37.8669968829157,9.757812,2.90340995788574,27.0
Bangladesh,2012,5,20.6,7,20.0,0.20000000000000004,80.0,133.310747603483,155.070101,2.04667067527771,0.0
Bangladesh,2016,4,25.5,4,25.0,0.25,25.0,265.224515675034,160.811932,2.22119998931885,0.0
Barbados,2012,6,23.0,6,0.0,0.5,50.0,5.2712575,0.276938,5.25726985931396,0.0
Barbados,2016,11,25.181818181818183,11,36.36363636363637,0.3553719008264462,36.36363636363637,5.3307615,0.279598,4.68382978439331,0.0
Barein,2012,12,22.75,11,66.66666666666666,0.5972222222222222,41.66666666666667,31.963404255319098,1.208964,2.64530992507935,1.0
Barein,2016,28,23.714285714285715,19,35.714285714285715,0.7423469387755102,42.857142857142854,33.8846808510638,1.423726,2.80248284339905,5.0
Belize,2012,3,27.333333333333332,3,33.33333333333333,0.5555555555555556,0.0,1.9094,0.334414,5.47151041030884,0.0
Belize,2016,3,27.333333333333332,3,33.33333333333333,0.5555555555555556,0.0,2.2402,0.364705,5.72171020507812,0.0
Benin,2012,4,24.75,4,25.0,0.375,25.0,11.1413581059853,10.397657,3.56202006340027,0.0
Benin,2016,6,26.5,6,33.33333333333333,0.2777777777777778,33.33333333333333,11.8210658521271,11.697842,2.89910006523132,0.0
Bermudas,2012,6,28.166666666666668,6,50.0,0.2777777777777778,16.666666666666664,6.378188,0.063646,2.38597130775452,0.0
Bermudas,2016,8,25.125,8,50.0,0.21875,12.5,6.899911,0.063449,1.91544389724731,0.0
Bielorrússia,2012,155,26.961290322580645,108,43.87096774193549,0.11891779396462017,21.935483870967744,65.6858904388922,9.446836,4.95964002609253,21.0
Bielorrússia,2016,120,27.191666666666666,86,55.833333333333336,0.12083333333333335,20.833333333333336,47.723545321259,9.469379,4.94654989242554,15.0
Bolívia,2012,4,22.25,4,50.0,0.5,50.0,27.0844974819103,10.515807,6.62799978256226,0.0
Bolívia,2016,12,25.583333333333332,10,50.0,0.3194444444444444,33.33333333333333,33.9411262000606,11.18002,8.15060997009277,0.0
Botsuana,2012,3,24.0,3,33.33333333333333,1.0,33.33333333333333,13.9074645001489,2.108617,8.10987281799316,2.0
Botsuana,2016,8,22.875,5,25.0,0.78125,50.0,15.0826371840496,2.234776,8.73589324951172,0.0
Brasil,2012,243,27.238683127572017,138,46.913580246913575,0.07287168283967554,20.98765432098765,2465.22780301157,196.876111,5.85510015487671,28.0
