Pais_traduzido,cod_pais,pib_dolar_2012,pib_dolar_2016,pop_total_2012,pop_total_2016,gastos_edu_pib_perc_2012,gastos_edu_pib_perc_2016
Afeganistão,AFG,19907329777.5872,18116572395.0772,30560034.0,34700612.0,2.60419988632202,4.54397010803223
Albânia,ALB,12319834195.331,11861199830.8396,2900401.0,2876101.0,3.30906105041504,3.96209001541138
Argélia,DZA,227143746075.934,180763839522.151,37646166.0,40850721.0,7.0295090675354,6.50210857391357
Andorra,AND,3188652765.36184,2896610479.73077,76834.0,72181.0,2.56577897071838,3.23707008361816
Angola,AGO,128052915766.343,52761617225.9253,25177394.0,29183070.0,3.08191084861755,2.75493669509888
Antígua e Barbuda,ATG,1327107407.40741,1489692592.59259,87260.0,89969.0,2.35619330406189,2.25177478790283
Argentina,ARG,545982375701.128,557532320662.955,42161721.0,43900313.0,5.34582996368408,5.54548978805542
Armênia,ARM,10619320682.9474,10546136235.5219,3024100.0,2992300.0,2.77248001098633,2.75812005996704
Aruba,ABW,2615208379.88827,2983635195.53073,104110.0,108727.0,6.3472900390625,5.49136018753052
Austrália,AUS,1547532281116.4,1206836962281.84,22733465.0,24190907.0,5.55924797058105,5.43038558959961
Áustria,AUT,406750487603.59,393687359770.273,8429991.0,8736668.0,5.48040008544922,5.4796199798584
Azerbaijão,AZE,69679944504.1972,37866996882.9157,9295784.0,9757812.0,2.06763005256653,2.90340995788574
Barein,BHR,31963404255.3191,33884680851.0638,1208964.0,1423726.0,2.64530992507935,2.80248284339905
Bangladesh,BGD,133310747603.483,265224515675.034,155070101.0,160811932.0,2.04667067527771,2.22119998931885
Barbados,BRB,5271257500.0,5330761500.0,276938.0,279598.0,5.25726985931396,4.68382978439331
Bielorrússia,BLR,65685890438.8922,47723545321.259,9446836.0,9469379.0,4.95964002609253,4.94654989242554
Bélgica,BEL,498414364944.961,474271566739.729,11106932.0,11331422.0,6.25576496124268,6.46173000335693
Belize,BLZ,1909400000.0,2240200000.0,334414.0,364705.0,5.47151041030884,5.72171020507812
Benin,BEN,11141358105.9853,11821065852.1271,10397657.0,11697842.0,3.56202006340027,2.89910006523132
Bermudas,BMU,6378188000.0,6899911000.0,63646.0,63449.0,2.38597130775452,1.91544389724731
Bolívia,BOL,27084497481.9103,33941126200.0606,10515807.0,11180020.0,6.62799978256226,8.15060997009277
Botsuana,BWA,13907464500.1489,15082637184.0496,2108617.0,2234776.0,8.10987281799316,8.73589324951172
Brasil,BRA,2465227803011.57,1795693482652.52,196876111.0,203218114.0,5.85510015487671,6.314040184021
Brunei,BRN,19048443339.9457,11400266055.3232,405557.0,427564.0,2.88959002494812,4.42540979385376
Bulgária,BGR,54288135058.7926,53964253211.84,7305888.0,7127822.0,3.47650003433228,3.39370822906494
