Nome,Sexo,Idade,Altura_cm,Peso_kg,Pais,Código_pais,Ano,Estação,Cidade,Esporte,Evento,Medalha,Altura_m,IMC,Pais_traduzido
A Lamusi,M,23.0,170.0,60.0,China,CHN,2012,Verão,London,Judô,Judô Masculino Peso Meio Leve,,1.7,20.761245674740486,China
Andreea Aanei,F,22.0,170.0,125.0,Romania,ROU,2016,Verão,Rio de Janeiro,Levantamento de Peso,Halterofilismo Feminino Super Pesado,,1.7,43.25259515570935,Romênia
Jamale (Djamel-) Aarrass (Ahrass-),M,30.0,187.0,76.0,France,FRA,2012,Verão,London,Atletismo,Atletismo Masculino 1.500 Metros,,1.87,21.7335354170837,França
Nstor Abad Sanjun,M,23.0,167.0,64.0,Spain,ESP,2016,Verão,Rio de Janeiro,Ginástica,Ginástica Masculina Individual Geral,,1.67,22.948115744558788,Espanha
Nstor Abad Sanjun,M,23.0,167.0,64.0,Spain,ESP,2016,Verão,Rio de Janeiro,Ginástica,Ginástica Masculina Exercício no Solo,,1.67,22.948115744558788,Espanha
Nstor Abad Sanjun,M,23.0,167.0,64.0,Spain,ESP,2016,Verão,Rio de Janeiro,Ginástica,Ginástica Masculina Barras Paralelas,,1.67,22.948115744558788,Espanha
Nstor Abad Sanjun,M,23.0,167.0,64.0,Spain,ESP,2016,Verão,Rio de Janeiro,Ginástica,Ginástica Masculina Barra Fixa,,1.67,22.948115744558788,Espanha
Nstor Abad Sanjun,M,23.0,167.0,64.0,Spain,ESP,2016,Verão,Rio de Janeiro,Ginástica,Ginástica Masculina Argolas,,1.67,22.948115744558788,Espanha
Nstor Abad Sanjun,M,23.0,167.0,64.0,Spain,ESP,2016,Verão,Rio de Janeiro,Ginástica,Ginástica Masculina Cavalo com Alças,,1.67,22.948115744558788,Espanha
Antonio Abadia Beci,M,26.0,170.0,65.0,Spain,ESP,2016,Verão,Rio de Janeiro,Atletismo,Atletismo Masculino 5.000 metros,,1.7,22.49134948096886,Espanha
Giovanni Abagnale,M,21.0,198.0,90.0,Italy,ITA,2016,Verão,Rio de Janeiro,Remo,Remo Masculino Casal Sem Cargueiro,Bronze,1.98,22.95684113865932,Itália
Patimat Abakarova,F,21.0,165.0,49.0,Azerbaijan,AZE,2016,Verão,Rio de Janeiro,Taekwondo,Taekwondo Feminino Peso Mosca,Bronze,1.65,17.99816345270891,Azerbaijão
Mariya Vasilyevna Abakumova (-Tarabina),F,26.0,179.0,80.0,Russia,RUS,2012,Verão,London,Atletismo,Atletismo Feminino Lançamento de Dardo,,1.79,24.968009737523797,Rússia
Luc Abalo,M,27.0,182.0,86.0,France,FRA,2012,Verão,London,Handebol,Handebol Masculino,Ouro,1.82,25.963047941069917,França
Luc Abalo,M,31.0,182.0,86.0,France,FRA,2016,Verão,Rio de Janeiro,Handebol,Handebol Masculino,Prata,1.82,25.963047941069917,França
Mara Laura Abalo,F,30.0,182.0,73.0,Argentina,ARG,2012,Verão,London,Remo,Remo Feminino Casal Sem Cargueiro,,1.82,22.03840115928028,Argentina
Emanuele Abate,M,27.0,190.0,80.0,Italy,ITA,2012,Verão,London,Atletismo,Atletismo Masculino 110 metros com Barreiras,,1.9,22.1606648199446,Itália
Ilyas Abbadi,M,19.0,175.0,75.0,Algeria,ALG,2012,Verão,London,Boxe,Boxe Masculino Peso Meio Médio,,1.75,24.489795918367346,Argélia
Ilyas Abbadi,M,23.0,175.0,75.0,Algeria,ALG,2016,Verão,Rio de Janeiro,Boxe,Boxe Masculino Peso Médio,,1.75,24.489795918367346,Argélia
Abubakar Abbas Abbas,M,20.0,175.0,66.0,Bahrain,BRN,2016,Verão,Rio de Janeiro,Atletismo,Atletismo Masculino 400 metros,,1.75,21.551020408163264,Barein
Sohail Abbas,M,37.0,178.0,80.0,Pakistan,PAK,2012,Verão,London,Hóquei,Hóquei Masculino,,1.78,25.24933720489837,Paquistão
Shakeel Abbasi,M,28.0,165.0,60.0,Pakistan,PAK,2012,Verão,London,Hóquei,Hóquei Masculino,,1.65,22.03856749311295,Paquistão
Soulmaz Abbasi Azad,F,28.0,173.0,60.0,Iran,IRI,2012,Verão,London,Remo,Remo Feminino Skiff Individual,,1.73,20.04744562130375,Irã
Simona Abbate,F,28.0,171.0,64.0,Italy,ITA,2012,Verão,London,Polo Aquático,Pólo Aquático Feminino,,1.71,21.887076365377382,Itália
Lois Abbingh,F,23.0,178.0,72.0,Netherlands,NED,2016,Verão,Rio de Janeiro,Handebol,Handebol Feminino,,1.78,22.724403484408533,Países Baixos
